user_id,username,email,department,role,is_admin,is_contractor,manager_id,created_at
USR_0001,user_ 00,user000@company.com,Engineering,Admin,true,false,,2024-05-19T16:27:53.418138
USR_0002,user_ 01,user001@company.com,HR,Admin,true,false,,2025-05-08T16:27:53.418174
USR_0003,user_ 02,user002@company.com,Legal,Admin,true,false,,2025-06-08T16:27:53.418184
USR_0004,user_ 03,user003@company.com,Engineering,Admin,true,false,,2025-10-03T16:27:53.418191
USR_0005,user_ 04,user004@company.com,Security,Admin,true,true,,2023-02-03T16:27:53.418197
USR_0006,user_ 05,user005@company.com,Legal,Admin,true,false,,2024-10-22T16:27:53.418204
USR_0007,user_ 06,user006@company.com,Legal,Admin,true,false,,2023-07-28T16:27:53.418210
USR_0008,user_ 07,user007@company.com,Compliance,Admin,true,false,,2024-05-13T16:27:53.418216
USR_0009,user_ 08,user008@company.com,Engineering,Admin,true,false,,2025-01-11T16:27:53.418221
USR_0010,user_ 09,user009@company.com,Operations,Admin,true,false,,2024-05-13T16:27:53.418227
USR_0011,user_ 10,user010@company.com,Operations,Admin,true,false,,2025-05-08T16:27:53.418233
USR_0012,user_ 11,user011@company.com,Finance,Admin,true,true,,2023-11-29T16:27:53.418267
USR_0013,user_ 12,user012@company.com,Compliance,Admin,true,false,,2024-06-10T16:27:53.418282
USR_0014,user_ 13,user013@company.com,Sales,Admin,true,false,,2025-03-23T16:27:53.418289
USR_0015,user_ 14,user014@company.com,DevOps,Admin,true,false,,2025-06-25T16:27:53.418295
USR_0016,user_ 15,user015@company.com,Compliance,Executive,false,false,USR_0010,2024-11-05T16:27:53.418302
USR_0017,user_ 16,user016@company.com,Engineering,Contractor,false,false,USR_0004,2024-04-20T16:27:53.418309
USR_0018,user_ 17,user017@company.com,Security,Engineer,false,false,USR_0007,2024-05-13T16:27:53.418316
USR_0019,user_ 18,user018@company.com,Operations,Manager,false,false,USR_0006,2023-12-07T16:27:53.418323
USR_0020,user_ 19,user019@company.com,Marketing,Contractor,false,false,USR_0015,2025-07-10T16:27:53.418329
USR_0021,user_ 20,user020@company.com,HR,Admin,false,false,USR_0012,2024-07-20T16:27:53.418336
USR_0022,user_ 21,user021@company.com,DevOps,Executive,false,false,USR_0015,2024-09-10T16:27:53.418342
USR_0023,user_ 22,user022@company.com,Engineering,Manager,false,false,USR_0014,2025-09-29T16:27:53.418352
USR_0024,user_ 23,user023@company.com,DevOps,Executive,false,false,USR_0002,2024-09-27T16:27:53.418358
USR_0025,user_ 24,user024@company.com,Compliance,Contractor,false,false,USR_0006,2024-09-24T16:27:53.418365
USR_0026,user_ 25,user025@company.com,DevOps,Contractor,false,false,USR_0008,2025-02-14T16:27:53.418371
USR_0027,user_ 26,user026@company.com,Security,Contractor,false,false,USR_0009,2024-06-13T16:27:53.418377
USR_0028,user_ 27,user027@company.com,DevOps,Admin,false,false,USR_0007,2023-11-23T16:27:53.418384
USR_0029,user_ 28,user028@company.com,HR,Admin,false,false,USR_0008,2025-05-31T16:27:53.418391
USR_0030,user_ 29,user029@company.com,Finance,Manager,false,false,USR_0011,2025-01-10T16:27:53.418398
USR_0031,user_ 30,user030@company.com,DevOps,Admin,false,false,USR_0002,2023-10-07T16:27:53.418405
USR_0032,user_ 31,user031@company.com,Sales,Admin,false,false,USR_0005,2025-11-10T16:27:53.418411
USR_0033,user_ 32,user032@company.com,Finance,Contractor,false,false,USR_0015,2024-06-05T16:27:53.418417
USR_0034,user_ 33,user033@company.com,Operations,Engineer,false,false,USR_0005,2023-06-27T16:27:53.418427
